channelID,channelTitle,subscriberCount,totalViews,videosCount
UCnabt_BunUVVk1PcSd8CO9Q,디토이야기,344000,140714828,328
UCKBzr20577Xcn0LJoRVES_A,무비띵크_Movie Think,508000,289336584,897
UCRvtSqoNIN8zdxCGgMkAZ0w,Cartoon Network Korea,453000,203307986,2546
UCxn_EHVOJnrEJBZY2p3E6Sg,어바웃타임 (About time),1100000,339649701,410
UCBHXCaw_W6sxfgAB7rC-BYw,소개해주는 남자,767000,266264242,395
UCfObDXCZ9mFHSdDdX1cvMqA,하울무비,70300,39932585,78
UCZA0JYHSFMqDhwCtul9Lg5A,영화보자,5170,1568046,11
UCcfz-8gGDYJfaRHYD7kkQpw,카랑Karang,917000,448723398,360
UCYZ4k7X4QH55oWC9Ljh98nA,명영화,69100,26617941,417
UCAS5U0gUmtibgY0Kl-8KD8A,미드의 신,82100,24210566,45
UCaHGOzOyeYzLQeKsVkfLEGA,지무비 : G Movie,3720000,1815028693,815
UCLtwNfpVdcrLxuNbkQIDEuw,나홀로팝콘,330000,56884079,26
UCuK80YHBZyyKrr2B1oHrgrw,어퍼컷Tube,1390000,320868806,519
UCKo9E6a6-E40CC6OdSbvcdA,스마일밤 Smile Bam,5290000,1464806233,163
UCRuSxVu4iqTK5kCh90ntAgA,총몇명,3670000,2172346321,749
UCXvftM-43hGjGc1TA-8Y_IA,동네비디오방,669000,370600983,790
UCCiLsaC6uPxvpewPjIXxZXA,띵영화,17100,5288560,113
UCh8EdN15Ef_8k-H3AAj9-ww,정씨네,158000,39811651,90
UCZZLitetDJATgDM85c19CWA,라이크어무비,216000,123927136,276
UCBquPwf_YEAzCmPpd_tfzAA,매드무비 : MadMovie,126000,109691812,206
UCx7cyQu2459UxtR1fwm83BA,영화탐구생활,77900,722888,3
UCkxf2G9198TzLbLuo-y6-EQ,무드무드mudu,5170,1427252,12
UCSZusSdxJ8o2cIWAG272mRA,영화볼래?,11300,2948027,9
UCpcft4FJXgUjnxWoQYsl7Ug,고몽,2490000,1622184502,1048
UCTyPD6OKjNasbJY1UVsjPRQ,유니애니,296000,161977942,573
UClN3o2FG4sMSL5kPhsk1MOg,썰푸는 그림쟁이툰,728000,584126735,617
UC3xi5oaSoAKiFUAvwuyDEFA,채씨네,215000,134265210,165
UCfDJ6zy3AZ1afT9FV0mwMOA,리씨네,387000,147554057,116
UCfuL4dFQRjGhJ20ZYVGmOgQ,PADLOTOON,2140000,908866631,1353
