videoID,categoryID,channelID,title,viewCount,likeCount,commentCount,uploadDate,duration,tags,thumbnailURL
kKKKKTMxFGw,2,UCu1zVEpCdQ0_aW0GoJxeb8w,2천만원대 KGM 무쏘EV출시! 기아 타스만 어떡해...?,107551,1094,248,2025-03-08T00:00:38Z,1134,"['카비니', '라리', '비니', '최우빈', '폐라리', '페라리', '자동차', '시승', '리뷰', '미디어 시승', '시승기', 'CAR', 'Cars', 'VEHICLE', '추천', '정보', '꿀팁', '기능', '주행', '가격', '프로모션', '옵션', '할인']",https://i.ytimg.com/vi/kKKKKTMxFGw/hqdefault.jpg
Pda8iSA9Iy0,2,UCPbxBhcZMq8NMq0EuXxGuAQ,2천만원 이하 패밀리카를 찾는다면 이런 차를 사세요,140360,2261,205,2025-03-16T05:12:50Z,961,"['#중고차', '중파', '중고차파괴자', '카푸어']",https://i.ytimg.com/vi/Pda8iSA9Iy0/hqdefault.jpg
8-fHYh9t-uY,2,UC_gaUd0RTRlwyuAf-Tj9gPQ,슈퍼카 페라리 일반인이 유지 가능할까?,95742,1249,226,2025-03-13T09:00:10Z,730,"['카진성', '중벤져스', '중고차파괴자', '중카', '중고차의모든것']",https://i.ytimg.com/vi/8-fHYh9t-uY/hqdefault.jpg
fnjAoCMGIMU,2,UCFL1sCAksD6_7JIZwwHcwjQ,[하이라이트] 정지선 위반한 블박차 노려서 충돌!? 견인 차량의 의심스러운 '고의 사고' 정황들... | 한블리 (한문철의 블랙박스 리뷰) | JTBC 250311 방송,116466,657,253,2025-03-11T13:42:57Z,1648,"['한문철', '블랙박스', '블랙박스리뷰', '이무진', '심으뜸', '이수근', '규현', '한보름', '수빈', '조나단', '한블리', '한문철의블랙박스리뷰', '블랙박스하이라이트', '한블리블랙박스', '한블리블박영상', '한블리블박하이라이트', '블박영상', '견인차', '렉카', '고의사고', '순간', '교차로', '신호등', '횡단보도', '골목길', '과실', '몇대몇', '한블리119회', '한문철의블랙박스', '한문철의블랙박스리뷰119회', 'JTBC예능', 'JTBC화요예능', 'KYUHYUN']",https://i.ytimg.com/vi/fnjAoCMGIMU/hqdefault.jpg
Q2nNaGp1waQ,2,UCd5CdYxogKBwvv1xyuxhvZA,기아 PV5 최초공개! 카니발 전기차? 화물차?…이 차는 분명 세상을 바꿉니다!,411841,5016,751,2025-02-27T08:00:31Z,2120,"['김한용', 'mocar', '모카', '시승기', '자동차', '국산차', '수입차', '현대차']",https://i.ytimg.com/vi/Q2nNaGp1waQ/hqdefault.jpg
hnwZjVk-ByU,2,UCsp4aZqInutP9t0DBKQNdIA,절대 신형 제네시스 보이는게 전부가 아닙니다 (진짜 선 넘었네요),148408,2240,114,2025-03-10T10:00:51Z,1660,"['중고차lpg', '디젤차관리', '하이브리드중고차', '차량연비높이는방법', '중고차고르는방법', '제네시스중고차', '자동차기름값절약', '중고전기차', '감가중고차', 'cvt미션오일', 'dct변속기오일']",https://i.ytimg.com/vi/hnwZjVk-ByU/hqdefault.jpg
OZplahPashQ,2,UCFUpTxU3nlGed-suY-FjjxA,"""실구매가 5,000만원대"" 아이오닉9 깡통 사세요, 팰리세이드 깡통과 차원이 다릅니다",266573,1934,339,2025-02-17T23:00:30Z,801,"['우파푸른하늘', '한승훈', '자동차', '시승기', '국산차', '수입차', '자동차유튜버', '신차소개']",https://i.ytimg.com/vi/OZplahPashQ/hqdefault.jpg
KoxVzCXIjbc,2,UC6lYdrYnNC1hD4T089AGTKg,[노라준카 블랙박스] 3:1로 덤벼도 쫄지않는 제보자에 녀석들은 결국..｜2025블박사고영상,57680,1266,79,2025-03-11T00:00:15Z,502,"['블랙박스사고영상', '블랙박스레전드', '교통사고과실비율', '카니발과학', 'k5과학', '김여사', '한블리', '역주행사고', '도참시', '참교육', '한문철', '금융치료']",https://i.ytimg.com/vi/KoxVzCXIjbc/hqdefault.jpg
D3XNZnYeIeg,2,UCv-Aa6CTYGxSaHfl6YjED_Q,감가 많이 된 아우디 사면 생기는 일..,149169,1386,324,2025-03-06T07:39:15Z,472,"['중고차의모든것', '중고차파괴자', '중카TV', '카진성', '부싼카', '중모', '중벤져스', '제네시스', 'BMW', '아우디', '벤츠', '중고차', '아우디A6', 'A6']",https://i.ytimg.com/vi/D3XNZnYeIeg/hqdefault.jpg
5Dvp9QH7eLA,2,UCH5U89kvHrVxxS80xpoOydw,24000회. 이런 사고도 사망 사고 날 수 있습니다. 신호등 없는 교차로 늘 조심하세요!,362890,3664,1830,2025-03-11T04:10:27Z,1078,"['한문철', '과실비율', '몇대몇', '사고', '교통사고', '영상', '블랙박스', '블박', '스스로닷컴', 'susulaw', 'car', 'traffic', 'accident', 'traffic accident', 'video', '블박차', '상대차', '과실문의', 'dashcam', 'blackbox', '승용차', '차사고', '과실']",https://i.ytimg.com/vi/5Dvp9QH7eLA/hqdefault.jpg
