videoID,categoryID,channelID,title,viewCount,likeCount,commentCount,updateDate,duration,tags,thumbnailURL
vfnqBiNG2A4,2,UCH5U89kvHrVxxS80xpoOydw,#2629. 방어운전이 불가능한 사고도 있다?! If defensive driving is impossible!#shorts,719112,11419,2908,2025-03-13T23:30:15Z,15,"['교통사고영상', 'caraccident', '교통사고', 'trafficaccident', 'dashcam', '교차로', '블박영상', '사고', 'traffic', 'car', 'blackbox', 'accident', '한문철', '블랙박스', '한문철TV']",https://i.ytimg.com/vi/vfnqBiNG2A4/hqdefault.jpg
T896gIGS2qQ,2,UCrMcLCFW9en-qEQayUrs0Bw,지석진의 2억 타이칸? 이서진이 진짜 부러워한 것은?,1820881,8848,366,2025-03-10T21:49:50Z,42,[],https://i.ytimg.com/vi/T896gIGS2qQ/hqdefault.jpg
Dsq7HZM4bUw,2,UCW2hKXklYTXK7upjzcNLjyA,Siapa yang salah? Who is Wrong? #shorts #truck #trukoleng,11058185,139637,2703,2025-03-10T22:47:29Z,124,"['Truck, trucks, truk, bus']",https://i.ytimg.com/vi/Dsq7HZM4bUw/hqdefault.jpg
qIDaPQVMJNw,2,UCelaR6G8YdgdCDcRV7i8x3Q,벤츠 EQE 특이한 점,763992,1738,267,2025-03-12T04:29:35Z,60,"['수입차정비', 'bmw정비', '벤츠정비', 's9아카데미아', '에스나인정비연구소', '에스구모터스', 's9academia', '카센타교육', '아우디정비', 's9motors', '폭스바겐정비', '자동차정비교육', '정비예약시스템', '자동차정비', '광명시수입차정비', '정비샵컨설팅', 's9wm', '자동차정비컨설팅', '에스나인모터스', 's9모터스']",https://i.ytimg.com/vi/qIDaPQVMJNw/hqdefault.jpg
KNozGNz-dnc,2,UCXTQWsvCnuKxqnbBFMYhrSA,전 세계 딱 한대 있는 슈퍼카,1143033,8533,122,2025-03-11T11:04:53Z,30,"['유머', 'BMW', '웃긴영상', '레전드영상', '처세', '페이크다큐', '추천', '현실고증', '코미디', '사회초년생', '중고차', 'bmw', '교육', 'MZ', '슈퍼카']",https://i.ytimg.com/vi/KNozGNz-dnc/hqdefault.jpg
gi0SCiPNP1w,2,UCC9BJCo0Eh19hg2ulED0Hwg,거꾸로 달리는 삼륜 바이크? 고속도로에서 목격한 반전!🤩,977935,3007,49,2025-03-11T00:00:37Z,18,[],https://i.ytimg.com/vi/gi0SCiPNP1w/hqdefault.jpg
BZpKK7gViHk,2,UCqnbAnSDiLYynzME9lgNvfg,고장난 현대 굴삭기 영상의 반전 ㄷㄷ,883666,2793,46,2025-03-11T09:29:30Z,33,[],https://i.ytimg.com/vi/BZpKK7gViHk/hqdefault.jpg
WIsoIX6h0QU,2,UCkJ8rQnTnJrWPVnbu0hsyBw,불법 주차한 3억짜리 포르쉐 차주 태도가 충격적입니다,3847187,82411,838,2025-03-03T11:49:40Z,46,[],https://i.ytimg.com/vi/WIsoIX6h0QU/hqdefault.jpg
3hH5C1EESBg,2,UCTg6xvzr4uc8-oZXLcd2zAw,배에 차량이 오르내리는 놀라운 방법!!,1262756,4020,79,2025-03-09T20:45:00Z,22,[],https://i.ytimg.com/vi/3hH5C1EESBg/hqdefault.jpg
VqeULWP8Tas,2,UCCvK3BFTnMc_sg4jcKIGKlw,미국형 제네시스 G90 어두운 곳에서 깜빡이 넣고 브레이크 밟으면 #제네시스g90 #genesisg90,1305334,2996,264,2025-03-09T04:11:03Z,14,[],https://i.ytimg.com/vi/VqeULWP8Tas/hqdefault.jpg
lL7CstoMxco,2,UC6lYdrYnNC1hD4T089AGTKg,[노라준카 블랙박스] 운전하다 빡치는 이유 #교통사고블랙박스영상,889416,13647,3747,2025-03-12T00:00:40Z,92,"['블랙박스레전드', '교통사고블랙박스영상', '역주행사고', '금융치료', '블랙박스', '김여사', '카니발과학', '참교육', '한블리', '블랙박스사고영상', '도참시', '한문철', '블랙박스사고', 'k5과학', '교통사고과실비율']",https://i.ytimg.com/vi/lL7CstoMxco/hqdefault.jpg
BWwxYPGT7Dc,2,UCkM0LRI4Wi8nihg-IttEYHQ,자전거 펑크 수리!,259886,7905,112,2025-03-17T06:25:26Z,56,"['mtb', '자전거', '픽시', '펑크', '로드자전거인데', '자전거펑크', '자읽남']",https://i.ytimg.com/vi/BWwxYPGT7Dc/hqdefault.jpg
8Pl3_J4R16Q,2,UCGyA4MkaU2STMEKF78mZRug,⚠️ O SEGREDO PARA EVITAR ACIDENTES COM EMPILHADEIRA! ⚠️,8008510,87733,299,2025-03-10T14:37:00Z,13,"['NR11', 'SegurançaNoTrabalho', 'Empilhadeira', 'OperaçãoSegura']",https://i.ytimg.com/vi/8Pl3_J4R16Q/hqdefault.jpg
3s4IFNI6R_I,2,UCONmx25iw0zaJcFg9ZHY1mQ,2억 벤츠차량 주유했더니 생긴 일 #shorts,1456581,51316,790,2025-03-04T15:00:07Z,56,[],https://i.ytimg.com/vi/3s4IFNI6R_I/hqdefault.jpg
XYdL7v39OTM,2,UCT1kwFpz5p1zI5DYNZtoxJQ,시대를 너무 앞서간 한국인이 개발한 평행주차 장치,5752046,84824,3249,2025-03-01T14:50:00Z,58,[],https://i.ytimg.com/vi/XYdL7v39OTM/hqdefault.jpg
CXkV-yIiZlQ,2,UCUj6rrhMTR9pipbAWBAMvUQ,차 없다고 무시하면 안 되는 이유;;,2230439,73626,5550,2025-03-07T08:00:13Z,46,"['침착맨', '바로받는이동지원금', '쏘카']",https://i.ytimg.com/vi/CXkV-yIiZlQ/hqdefault.jpg
