channelID,channelTitle,subscriberCount,totalViews,videosCount
UCxGHa_vdppJNVLmQShNVnrA,Bliss Bits,1080000,937690688,1098
UCAnu8zuqomikJ58d6MsW_kw,김누킴,66900,86337131,483
UCU-ltMMSmo03bQEx76C-zZw,Truckershaderoom,41800,45472284,1306
UCDyb7hB6TwGxP25o9hGCqwA,유머스낵,431000,888926068,881
UCLgIpbxquWUnIFvWLb9v1MA,짤타쿠,10800,50393904,112
UCZ0a2TA-EzL_1KJ2vWx2cNw,김툰,20700,40900944,354
UC3pCBRbdO8lDFRJw9GtNL4w,K-자동차,13800,62825870,509
UCCEQiGTXVdTXleZaHvePm7Q,IT’S  ME VARUN 2.0M,24000,13226057,685
UCPbxBhcZMq8NMq0EuXxGuAQ,중고차파괴자,617000,364921415,451
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,375000000,75607280926,854
UC-JrY3OsVEKmi3qgSVZ1r8A,지식봄,13400,9431011,24
UCB2y4U9UpRd4Y2Lmow-Hzzg,HRS POWER,18300,3120587,170
UC1Sv4uLAUpPJPmnUXIESR4A,mazen wehbe,61500,60630255,531
UC9nFMAQcn0bqIrEV9vUdU1g,사나이 김기훈,1110000,871452118,998
UC35F9WnUgEoY_Pd2jOy5Ktg,알룔료,10500,3571454,3
UCxqMVa2tT-1NaOa2n0mpNTQ,리틀포크맨,50600,96444078,907
UCM7lS3kI_xnDCdWndUybZRA,남자마켓,34100,12194053,77
UCHuLV8eMXQcC12X5REeMQlA,Watchawit,187000,172471989,273
UC-Soj8cT2IuLefpPffFugVQ,유휘,79600,181219654,726
UC28KIazhcYzHC4JvHRfMZjg,중고차부싼카,337000,277093140,894
UCRKsLECGa4TEep-KhDL6dYQ,Krish Desai,43800,48087139,61
UCq2vJ43ZiuL0Sd-scrw6Ezw,그의 인생은,14400,75307388,153
UCXPOR4gQVDrGXPf3_JEmcRw,방구석지구촌,461000,1107821630,571
UCAl7xQ6q0PEgZMQD7zr4AKQ,JENNIE - Topic,679000,417138022,50
UCGKXb1syicud01CJOOFRykg,Lady Gaga - Topic,144000,3794445042,2573
UC-clMkTZa7k-FxmNgMjoCgQ,LE SSERAFIM - Topic,35400,1389025207,146
UCRfVrZpe3TA-LB4rutWAtkg,G-DRAGON - Topic,235000,597555782,210
UC9HhDGbto7PIQP8ZFmKESkg,OVAN - Topic,13000,216711625,125
UC9oomNHPNLrh819sxCgcYTA,10CM - Topic,9930,718670623,222
UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,30400000,24192058387,2328
UChLNWcjgBfZ9RPnzR5LM1mQ,j-hope - Topic,1890000,182297470,53
UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,76700000,38452965087,2354
UCIwE33gDkznkuot-fU-WcOg,BOYNEXTDOOR - Topic,10200,135445038,41
UC_qHgUYj1AD49hrAdRw1eGg,YEJI - Topic,14900,1887689,8
UC4UnP3v-iaFaLdtKwp84Pmw,이찬원,402000,493217607,236
UCwZQh9xaDypKdmUafh1JaVQ,Release - Topic,3,55423,2
UCC3Hg75KxQk4VTrBSphEbGw,Hearts2Hearts - Topic,8300,9032721,4
UCtA4muF8jjTxjvC9TIeqAMA,LEE CHANGSUB - Topic,15100,123253556,81
UCod5V2dpnpJLklGvVOv5FcQ,STAYC,1770000,1323923904,1547
UCx45MLSBioJvR5CAL786nTA,Onestar - Topic,14200,229747388,110
UCfCiP0obFQZOB6fJqN-eF8A,KiiiKiii - Topic,5190,5539865,2
UCwZMmIVr07VLAfNcuqg9LZA,다비치 DAVICHI,272000,625795785,177
UCvAUJvMNPy1LLVKpFiu-X9w,SEULGI - Topic,59700,87256245,39
UCjglaxl4u4x1hG9vA0OZL2Q,Choi Yu Ree - Topic,28900,307550860,109
UCkN6oIPrS-ovf5AU9BD7KCg,OGAM Entertainment,184000,152265434,6378
UCljjJVPQam6IaerEz2Mr5NA,아이앤지식,124000,728821305,403
UCH7ZmSDIcuWXErEPN-MJyqg,타임쇼츠,24300,31229357,190
UC7M-XR1tMJC_9X5wlfJv_Jw,감동물,319000,814374113,494
UCYRvrl_DaSENSF5xQ_RlvXA,감동먹자,104000,51831598,269
UCq4cFWNFpswWDy1k0b761SQ,아조아,121000,132387196,135
UCBkyj16n2snkRg1BAzpovXQ,우왁굳,1740000,2234720625,8220
UCVUmyQPMt-RJ1ufBoTj9dNQ,꽃개냥,93100,209947817,183
UChBRTHSyiah6poSscWqptBg,숏여우,86300,251956146,233
UCaQEpOgPoBizJihfJ7CW6og,애니멀숏츠,19900,14060629,95
UCV4dbNA-Wi-uAPHM5somg8A,우우걸 oohoohgirl,10800,8283704,48
UCF1Rpn0RGyQ3sceOurMBqPA,Kitty Cats,227000,135573962,479
UCNZQH5gqyNf0gm8DkTRfkLA,동물타임,266000,470888571,560
UCh9Hs6LCnksZbSs2SqSdfqg,철멍뭉,636000,406752081,408
UC4MTOz8ZeRjT4ksmRA7Q_4Q,유니랜드,130000,309766828,508
UCSpABJM4eERzyY4nfOFt0Ew,유머꾼,12600,60618257,85
UCt4PBS3VQaMiQVUIu2LvM6w,힐링농장,143000,239177885,344
UCE1H4sQdFeFRbuOFcliky0A,버디 buddy_beast,15600,8614489,20
UCRTwx67LEjux_k1NzpxYpWQ,으냥냥,12000,18835833,99
UCvXADObgwwtDCsnONOQebmg,후다닥,154000,106556791,169
UCsVfO5C0JAJ4dhVkpDkpbOA,dog-cute- animals,1620000,653756025,67
UC7bitSTkUiDO6b5CSZ-2lDA,Untold Stories,622000,298398252,384
UCJ5pGJy66H5cMJqatOm96pg,1분토커,43600,62126511,489
UCHSngYqwXWEgBU6z9pQAj0w,숏숏,307000,28464224,189
UCRWxH4fGhuNsh0klWnDbt0w,언더월드 UNDER WORLD,1220000,905381791,383
UCtvuQvvX9lFut_K8OdIn6qg,Dogophile -pet parent ,13400,7221889,42
UCotLo864MJbCfkzQaHquH7A,여행철학,40000,57967509,609
UCoSB5ln1nHUWO-GV0XI_Plw,전숏대,116000,113585120,172
UCy_zPS1AbALUOqLvKEdnXzw,뭐보냐곰,146000,194192127,336
UCr4CatqympoNVEzGirUSgfg,톡톡 동물 지식,423000,998194479,1306
UC5ZqaJ9klJrwgsKjYW42JtA,원샷한솔OneshotHansol,1350000,1268634024,815
UCQbN3pcS7LAYfNvzdjQTE1g,호기심탐구소,134000,232169378,303
UCryBzYxIiepEpecRkNFxJtA,상식에 미치다,74200,18263412,321
UCrkKaDi20-NRZVi65uIue3A,뉴건,13500,85025600,280
UCkkQrCGwsC_1LWRcUz81ZyA,상냥스럽개,68200,60969984,113
UCS-uWd5JJWTDByy1OsLpEVA,포테이또,109000,143299812,434
UCwougW8eZ2hpyEn_c5oh6tA,꿀잼츄러스,23200,76036005,111
UCGEsS4iwOkog6ooCEzjuGiA,협박남,153000,29685166,46
UCBxaSof3Z3bYHoKrjqxpeEg,힐링포옹,10900,2340596,45
UCX7dAdIiSo1DmW8wi0xDM4w,우린만났다,24900,47656602,124
UC9vhGW-jojAGUMz-wLJGhfQ,냥땅,47400,74877964,580
UCxRGLdDUodBiMSpOmtJy6IA,레드토픽,13000,38320730,179
UCQ4WV9W1EGKdi8_n9Il_nxQ,떡한입,41500,33115887,136
UCyRoynZRY026vew0Ix41bhw,리뷰띠,519000,863308856,463
UCH4ydkR_Farj84SLeE4uRgg,감동꾸러미,158000,135925846,396
UC5OnSWjlnY-FTmw62e1ByHg,Animals Lovers🫶,397000,186399090,655
UC3DRoU5E0CZMljHpouRAzgQ,Mystic Chronicles,372000,120033863,195
UClbAxnNKc3Gv5EQ_JthkRVg,보설콩사뿌 [묘생동화],15800,22047800,238
UCWcYeZzQYcJXWragaTfZzfQ,고슬홍차세상,11900,5137353,178
UCkcG0D2Y_pCg8NL0d4mjgBA,오늘크큭,42400,33352493,140
UCUjUU-lu2F6NjMxm3Qxvm-Q,펀 팩토리,49300,184781837,246
UCabmTI9xy7V_G-rPocixuww,김판다,184000,473304604,101
UCnCaseYX9H5bPzCNuB_9qJw,피식킴,19600,50102698,152
UCLChexBTEyyWwTAkbPymNNg,진짜 잠깐만,293000,1178338087,1282
UCIWIOJnn9wd3-K5yv5rJGKw,소몰이꾼,25000,72732996,78
UCGqxMPGA56vREDntiTsMSHA,숏충이,40400,78375030,403
UCXR22tiec8MfTlUp4JXOzNg,SPORTYMEDIA,113000,314135459,578
UCWcRUyd0ViHhBiKggAApaCg,격투맨쉽,38900,110477311,388
UCDsjR0rrz38EKkbZ-cRbmxA,숏스커버리,197000,323240522,881
UC5JiEeJKIVPwQl3xEA0nAyg,잇다,191000,522849113,1001
UCdIPB_KHGcX9Yif-uR6S0eA,스포쇼츠,23000,93821795,307
UComRG16hBlKYyOVtXk24TIQ,잇슈왕,46500,162063909,551
UCy6X4RYTjGnrQQpwC6xQG9g,대박s쇼츠,148000,242295268,526
UCnXNukjRxXGD8aeZGRV-lYg,스포타임,890000,1729829515,15807
UCASQisZAfo4_R53nbuK_n7A,쇼츠탐구영역,26700,62783164,259
UCUWdVHFdoyHCTDcQ4Gte_KQ,국뽕의민족,52500,51329450,80
UC270ueFEsQ21S26TYI_9yVA,야신야덕,292000,507856187,1527
UCClLLvoBJN2mpeSnx6-Danw,스포츠야미 SportsYummy,31200,71246778,188
UCqAu9ziq7iUGZHmiqQqbgyg,라커룸이야기,12200,45305299,222
UCSin3OGjCdsCcop7AsB6NXA,축구어때,111000,316474197,773
UCuEpHb8hXkV-qXBp1uBC2pA,아이쇼스피드 백과사전,251000,564553943,398
UCYuXe8y4Hsz1-flloFBJt5Q,도블락 GK Doblock,190000,335831737,2172
UCK7oCnJ5eQhuXrvL2ihrbdQ,핫이슈TV,350000,420683977,1660
UCknx4XQhA-b97lPxVgNYBng,이슈붕,45700,138015326,219
UCvY890vUaIMJ68eOpqvmAAA,레전사커,80900,386120594,1264
UCv3CTPm72dPQH6yzyLn-pHg,나루월드,62400,45701290,190
UCrLPLhgox9bPoy2JIvUEB0g,싸커스토리 (후반전),29000,103212245,187
UCB3HOiLl9RSOosOOx82umuw,골때녀_골프공때리는녀석,11500,40906736,99
UCpBpsIYfgEe2s-zazZ643xw,모르면개손해,299000,1244798624,1349
UCeN2yQGeeJnOjJn0icZlX2Q,TV유단잔가,170000,203108014,390
UCR0CcFKPsu1sJxFfzeRn4gw,골프연구소,29300,27115963,121
UC9opVvdYqxrwjYq1i1626SA,짧은근황,67000,51482393,94
UC2l9YjSo16aT2DGX8XRIM_w,Funny Sports Studio,79700,161415434,409
UCjfSLIdqrH7F9Q-pHGL8Y8g,썰팔이카사노,12800,49477175,101
UCl402YYy7RcH7PBI3npmGPQ,두치와뿌꾸,855000,2115184035,18266
UC2qjHK7wWxzb8mF9lgf7uXQ,NICKY니키,786000,435222876,897
UCrF4HldLotehw991JTsqXhw,들었어?,182000,453767315,1059
UCS56YF1dyARgFH1cajjqFXw,금바페,13100,61540933,378
UCWOJBPAhe2W0BqL2NO2EGnQ,핫뉴스,98500,164568445,719
UCx2K1jzcWJs66G1WZheLjmg,알쓸야구,31300,256328998,577
UCvoc6OybPdeLzbX_Vn3_SxQ,참선생,92900,155192232,52
UCEb5K4qcbxbEag-6PQi2jHg,연순궁,79700,95912593,648
UCrL6XKKPwKTCxbnQUaAHt0A,몬스타즈,30300,50707684,137
UCDBAVzfX3yZ1hah0FHnOoaA,괴물쥐 유튜브,1190000,1522265168,1840
UCBA9XaL5wCdHnC5EmEzwrqw,튜브김민교,727000,627201515,1715
UCJpAwvQaZyCI5spAz7tipGA,PAKA,780000,759850977,983
UCRlaFFgUHAcc_Oce_GgAQmg,모찌엘,236000,41765175,247
UCg7rkxrTnIhiHEpXY1ec9NA,잠뜰 TV,2310000,3987950764,4197
UCEu_YKdz0lMz1NkB3vlUyyw,승상싱,546000,265266833,198
UCyoSQyaCrZHro6F_nBiXIYg,클리드,247000,85358458,283
UCCoU5ViXgoK-_2neelNhQaA,꼬예유의 로블록스 저장소,30100,2288112,11
UCNzcxCN_Hh_lu5RCSFXKgGQ,악동 김블루,2080000,3286884690,2983
UC-9v2ASxz8f313YpiMF55eg,김데데,233000,119356851,927
UC1dG3vI9FfHnH3YgyeKUz_A,저라뎃 JUSTLIKETHAT,711000,894271834,3753
UCZ-UuK86Bk5sGzQQ2cEglJQ,주키니TV,705000,545563340,1392
UCOTJtP0Z9DjpPU43B5m1V6A,[ALTUBE] 김성현TV,861000,1243595125,4582
UCD8r5Jgns2V64-NcUmXclpg,전쓰트의 게임 채널 Junsst,608000,854754041,4179
UCw1DsweY9b2AKGjV4kGJP1A,LCK,1490000,1967596395,10608
UCgT-gb3favw2jQgwxbbwwaA,잡상싱,297000,220354980,1478
UC1q4Ihlv_YhLELw-ijE0Diw,마플 마인크래프트 채널,745000,1746503202,3284
UCBjPppB6FOLloYBUvgbqE_A,불도그,207000,102445043,1320
UCUR5w0E-jQTOO8Q0FZ4ilYQ,팡이요,556000,624919119,5262
UCpnnUKmAQKgVinEV-lV-N2g,프뚜,155000,18805563,24
UCUbOogiD-4PKDqaJfSOTC0g,테스터훈 TesterHoon,1410000,1735256259,4534
UCTLIq9jl-pb_ojAZZtoGaOQ,빅보스,171000,69334443,2391
UCxRlvng0zVoyEBhutAuXfzQ,유봉훈,326000,296463619,1604
UC4P7F8qenDo1O_5NvgBb_cg,발스타홍구,434000,482875884,1395
UCJmsB6NAU0sp2htDL4KmX0A,전략적죽음,96300,27531054,296
UCnMhzw7xYMl6LJpM0au6vqw,김된모,425000,281324777,1176
UCfIUuMA7U_jImP7oWfTe4Pw,이상호,894000,629091222,2322
UCnkytUgy0CtWd06up9CjNxg,가재맨,431000,332170103,1559
UCpJw2H9KKqwCCGQKRh1Bf2w,T1 Faker,1990000,427504264,1409
